,ID,ID_FIN_LANCAMENTO_PAGAR,ID_CENTRO_RESULTADO,DATA_INCLUSAO,VALOR,PERCENTUAL
0,1,459,52,2022-07-15,30000.0,100.0
1,3,461,52,2022-07-15,65.0,100.0
2,4,462,52,2022-07-15,65.0,100.0
3,7,465,52,2022-07-15,187.27,100.0
4,8,466,54,2022-07-15,188.62,100.0
5,9,467,55,2022-07-15,480.08,100.0
6,10,468,56,2022-07-15,49.53,83.906488
7,11,468,57,2022-07-15,3.61,6.115534
8,12,468,58,2022-07-15,5.89,9.977977
9,13,469,52,2022-07-15,1159.1,100.0
10,14,470,52,2022-07-15,251.18,100.0
11,15,471,52,2022-07-15,3116.21,100.0
12,16,472,52,2022-07-15,2136.0,100.0
13,17,447,52,2022-07-15,99.6,100.0
14,18,473,52,2022-07-15,13.75,100.0
15,19,474,52,2022-07-16,100.0,100.0
16,20,475,52,2022-07-16,100.0,100.0
17,21,476,52,2022-07-16,15.0,100.0
18,22,477,59,2022-07-16,143.0,100.0
19,24,479,52,2022-07-16,300.0,100.0
20,25,388,59,2022-07-16,338.83,100.0
21,26,480,52,2022-07-16,233.94,100.0
22,27,481,52,2022-07-16,88.78,100.0
23,28,200,52,2022-07-16,225.22,100.0
24,29,482,52,2022-07-16,12.5,100.0
25,30,484,52,2022-07-16,3.0,100.0
26,31,485,52,2022-07-16,280.28,100.0
27,32,486,52,2022-07-16,2675.16,100.0
28,44,499,52,2022-07-16,7.5,100.0
29,45,500,52,2022-07-16,2.5,100.0
30,47,503,52,2022-07-16,12.5,100.0
31,48,502,52,2022-07-16,3.0,100.0
32,53,508,52,2022-07-16,3660.01,100.0
33,54,509,52,2022-07-16,3649.38,100.0
34,55,510,52,2022-07-16,4426.41,100.0
35,56,511,52,2022-07-16,3440.16,100.0
36,57,512,52,2022-07-16,3476.05,100.0
37,58,513,52,2022-07-18,15.0,100.0
38,59,514,52,2022-07-18,300.0,100.0
39,60,515,52,2022-07-18,50.0,100.0
40,61,516,52,2022-07-18,20000.0,100.0
