,ID,ID_CONTA_CAIXA,ID_FIN_LANCAMENTO_PAGAR,ID_FIN_STATUS_PARCELA,NUMERO_PARCELA,DATA_EMISSAO,DATA_VENCIMENTO,DESCONTO_ATE,SOFRE_RETENCAO,VALOR,TAXA_JURO,TAXA_MULTA,TAXA_DESCONTO,VALOR_JURO,VALOR_MULTA,VALOR_DESCONTO
0,61,3,24,2,1,2022-05-23,2022-05-10,2022-05-23,,765.02,0.0,0.0,0.0,0.0,0.0,0.0
1,63,3,26,2,1,2022-05-23,2022-05-11,2022-05-23,,3237.5,0.0,0.0,0.0,0.0,0.0,0.0
2,64,3,27,2,1,2022-05-23,2022-05-12,2022-05-23,,226.2,0.0,0.0,0.0,0.0,0.0,0.0
3,65,3,28,2,1,2022-05-23,2022-05-13,2022-05-23,,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
4,66,3,29,2,1,2022-05-23,2022-06-13,2022-05-23,,40.24,0.0,0.0,0.0,0.0,0.0,0.0
5,70,3,33,2,1,2022-05-23,2022-05-14,2022-05-23,,493.95,0.0,0.0,0.0,0.0,0.0,0.0
6,71,3,34,2,1,2022-05-23,2022-05-16,2022-05-23,,307.1,0.0,0.0,0.0,0.0,0.0,0.0
7,72,3,35,2,1,2022-05-23,2022-05-16,2022-05-23,,14.62,0.0,0.0,0.0,0.0,0.0,0.0
8,73,3,36,2,1,2022-05-23,2022-05-17,2022-05-23,,293.64,0.0,0.0,0.0,0.0,0.0,0.0
9,81,3,39,2,1,2022-05-23,2022-05-20,2022-05-23,,270.24,0.0,0.0,0.0,0.0,0.0,0.0
10,85,3,41,2,1,2022-05-23,2022-05-23,2022-05-23,,970.31,0.0,0.0,0.0,0.0,0.0,0.0
11,86,3,41,2,2,2022-05-23,2022-06-20,2022-05-23,,931.81,0.0,0.0,0.0,0.0,0.0,0.0
12,89,3,43,2,1,2022-05-23,2022-05-24,2022-05-23,,1845.0,0.0,0.0,0.0,0.0,0.0,0.0
13,90,3,44,2,1,2022-05-23,2022-05-24,2022-05-23,,369.68,0.0,0.0,0.0,0.0,0.0,0.0
14,91,3,44,2,2,2022-05-23,2022-06-21,2022-05-23,,369.68,0.0,0.0,0.0,0.0,0.0,0.0
15,93,3,46,2,1,2022-05-23,2022-05-25,2022-05-23,,1339.91,0.0,0.0,0.0,0.0,0.0,0.0
16,94,3,46,2,2,2022-05-23,2022-06-22,2022-05-23,,1339.91,0.0,0.0,0.0,0.0,0.0,0.0
17,95,3,47,2,1,2022-05-23,2022-05-25,2022-05-23,,1180.17,0.0,0.0,0.0,0.0,0.0,0.0
18,96,3,47,2,2,2022-05-23,2022-06-22,2022-05-23,,1180.17,0.0,0.0,0.0,0.0,0.0,0.0
19,97,3,48,2,1,2022-05-24,2022-05-26,2022-05-24,,236.04,0.0,0.0,0.0,0.0,0.0,0.0
20,98,3,49,2,1,2022-05-24,2022-05-26,2022-05-24,,1905.35,0.0,0.0,0.0,0.0,0.0,0.0
21,99,3,49,2,2,2022-05-24,2022-06-23,2022-05-24,,1905.35,0.0,0.0,0.0,0.0,0.0,0.0
22,102,3,52,2,1,2022-05-24,2022-05-30,2022-05-24,,829.67,0.0,0.0,0.0,0.0,0.0,0.0
23,103,3,52,2,2,2022-05-24,2022-06-27,2022-05-24,,829.68,0.0,0.0,0.0,0.0,0.0,0.0
24,104,3,53,2,1,2022-05-24,2022-05-30,2022-05-24,,2594.2,0.0,0.0,0.0,0.0,0.0,0.0
25,105,3,53,2,2,2022-05-24,2022-06-27,2022-05-24,,2594.21,0.0,0.0,0.0,0.0,0.0,0.0
26,106,3,54,2,1,2022-05-24,2022-05-30,2022-05-24,,2742.3,0.0,0.0,0.0,0.0,0.0,0.0
27,107,3,54,2,2,2022-05-24,2022-06-27,2022-05-24,,2742.3,0.0,0.0,0.0,0.0,0.0,0.0
28,108,3,55,2,1,2022-05-24,2022-05-30,2022-05-24,,87.22,0.0,0.0,0.0,0.0,0.0,0.0
29,109,3,56,2,1,2022-05-24,2022-05-30,2022-05-24,,99.17,0.0,0.0,0.0,0.0,0.0,0.0
30,110,3,57,2,1,2022-05-24,2022-06-01,2022-05-24,,328.9,0.0,0.0,0.0,0.0,0.0,0.0
31,111,3,58,2,1,2022-05-24,2022-06-02,2022-05-24,,7.18,0.0,0.0,0.0,0.0,0.0,0.0
32,115,3,60,2,1,2022-05-24,2022-06-02,2022-05-24,,210.11,0.0,0.0,0.0,0.0,0.0,0.0
33,116,3,60,2,2,2022-05-24,2022-06-30,2022-05-24,,210.12,0.0,0.0,0.0,0.0,0.0,0.0
34,119,3,62,2,1,2022-05-24,2022-06-03,2022-05-24,,15.48,0.0,0.0,0.0,0.0,0.0,0.0
35,120,3,63,2,1,2022-05-24,2022-06-03,2022-05-24,,26.4,0.0,0.0,0.0,0.0,0.0,0.0
36,121,3,64,2,1,2022-05-24,2022-06-06,2022-05-24,,810.27,0.0,0.0,0.0,0.0,0.0,0.0
37,122,3,65,2,1,2022-05-24,2022-06-08,2022-05-24,,476.33,0.0,0.0,0.0,0.0,0.0,0.0
38,123,3,65,2,2,2022-05-24,2022-07-06,2022-05-24,,477.0,0.0,0.0,0.0,0.0,0.0,0.0
